  
       XFOIL         Version 6.94
  
 Calculated polar for: HQ34                                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.100 e 6     Ncrit =   9.000
  
  alpha     CL        CD       CDp       CM    Top_Xtr Bot_Xtr
 ------- -------- --------- --------- -------- ------- -------
  -7.000  -0.1737   0.07885   0.07498  -0.0444  0.7513  0.1034
  -6.000  -0.2244   0.06427   0.06030  -0.0621  0.7425  0.1158
  -5.000  -0.2677   0.06914   0.06472  -0.0537  0.7391  0.1248
  -4.000  -0.2192   0.05933   0.05451  -0.0581  0.7256  0.1753
  -3.000  -0.1700   0.05267   0.04767  -0.0551  0.7111  0.2657
  -2.000  -0.0624   0.04045   0.03190  -0.0527  0.6977  0.0801
  -1.000   0.0395   0.03603   0.02670  -0.0496  0.6861  0.0877
   0.000   0.1210   0.03539   0.02619  -0.0470  0.6692  0.1399
   1.000   0.3796   0.03558   0.02826  -0.0763  0.6534  1.0000
   2.000   0.4120   0.04077   0.03308  -0.0703  0.6359  1.0000
   3.000   0.3127   0.05092   0.04311  -0.0523  0.6457  1.0000
   5.000   0.3728   0.06386   0.05559  -0.0439  0.6532  1.0000
   6.000   0.4486   0.07008   0.06167  -0.0431  0.6341  1.0000
   7.000   0.4677   0.07481   0.06636  -0.0381  0.6069  1.0000
   8.000   0.5378   0.08125   0.07285  -0.0376  0.5843  1.0000
   9.000   0.5950   0.08708   0.07881  -0.0359  0.5507  1.0000
  10.000   0.7222   0.08312   0.07499  -0.0311  0.4725  1.0000
  11.000   0.8067   0.08464   0.07684  -0.0286  0.4374  1.0000
  12.000   0.9007   0.08361   0.07627  -0.0253  0.4029  1.0000
  14.000   1.1794   0.06281   0.05690  -0.0147  0.3359  1.0000
  15.000   1.2813   0.05755   0.05131  -0.0095  0.2474  1.0000
  16.000   1.2691   0.06838   0.06175  -0.0076  0.1810  1.0000
  17.000   1.2452   0.08253   0.07603  -0.0085  0.1304  1.0000
  18.000   1.1864   0.10396   0.09732  -0.0132  0.0724  1.0000
  19.000   1.1857   0.11563   0.10866  -0.0124  0.0425  1.0000
  20.000   1.1976   0.12699   0.12045  -0.0137  0.0342  1.0000
